Source,Target,Weight
TAB,RUD,3
RUD,ANC,17
ANC,CEN,17
CEN,PLA,5
PLA,ASU,2
TAB,PAU,3
PAU,JOR,1
JOR,RUD,1
CEN,STA,4
PAU,RUD,3
CEN,BAE,10
BAE,NPE,2
NPE,STA,6
STA,FER,1
MON,BAE,7
ALV,COP,6
COP,CAS,4
CAS,ADI,2
ADI,ASU,9
ASU,CEN,9
CAS,ASU,6
FIN,RIO,4
RIO,BNE,2
BNE,BOT,4
BOT,MON,4
MON,DEM,1
DEM,FER,4
FER,CEN,15
CEN,NPE,6
COP,ADI,5
IND,PLA,5
PLA,JOR,6
JOR,CEN,3
FER,MON,9
ALV,ADI,1
BAT,ALV,6
ALV,CAS,5
ASU,IND,2
CEN,DEM,8
DEM,ASU,2
ADI,IND,1
STA,MON,2
ALV,DEM,1
DEM,CAS,4
CAS,BAT,1
NPE,MON,5
RIO,MON,2
BOT,DEM,4
BAT,DEM,1
CPV,TTT,1
TTT,CRZ,1
ASU,ALV,1
ZZL,VAR,1
VAR,RIO,3
MON,BNE,1
CAS,CEN,1
